tau,A_min,score_tau,n_images,n_instances,instances_per_image,score_mean,score_median,score_p05,score_p10,score_p25,score_lt_0_60_pct,score_lt_0_70_pct,score_lt_0_80_pct,score_lt_0_90_pct,area_median,area_p10,fill_ratio_mean,fill_ratio_p10,fill_ratio_lt_0_10_pct,depth_mad_norm_mean,depth_mad_norm_p90,boundary_support_mean
0.1,500,0.2,2975,59495,19.998319327731092,0.9744355390018863,0.986050527051788,0.9065072483704935,0.9365982741752799,0.9686058306320324,0.0016808135137406507,0.018488948651147155,0.3664173459954618,4.331456424909656,3954.0,916.0,0.45613160272867054,0.1454523200178035,6.217329187326666,0.07095851216463749,0.20140922761431534,0.08271309883473188
0.1,1000,0.2,2975,50360,16.927731092436975,0.9774975786678254,0.9864492663027534,0.9240648946108323,0.9467657000956763,0.9713313873042521,0.0,0.0019857029388403494,0.09729944400317712,2.511914217633042,5348.5,1629.0,0.4330005705314126,0.11525901487107093,8.445194598888007,0.07846056910350954,0.22124483626868555,0.06988999595454143
0.1,1500,0.2,2975,44426,14.933109243697478,0.9789369776276338,0.9865544880881866,0.9327129774181425,0.9512390019028165,0.9724893694884185,0.0,0.0,0.029262143789672714,1.5981632377436636,6582.5,2318.0,0.41562114627820357,0.09989428868604716,10.007653176068068,0.08391617988948992,0.23511638400805313,0.06342019611791144
0.1,2000,0.2,2975,40060,13.465546218487395,0.9797833927419922,0.9865749541285831,0.9371919411880113,0.9540392633620262,0.973270612895009,0.0,0.0,0.007488766849725412,1.0883674488267598,7692.5,3013.0,0.4035185782262246,0.09287210428164089,10.963554667998004,0.08831197804059811,0.2451348813782453,0.0591803521044537
0.2,100,0.2,2975,67409,22.658487394957984,0.97192249877244,0.9874350502287518,0.8852847296385409,0.9332969608688768,0.970403951368047,0.12016199617261791,0.49103235473008056,1.717871500838167,6.05408773309202,2932.0,305.0,0.49384617066723163,0.20467708478309735,3.055971754513492,0.06609855946377349,0.1918754647956731,0.07246771286599929
0.2,200,0.2,2975,63251,21.260840336134454,0.9743668482913527,0.9874004011990554,0.9009936747980749,0.939167034659078,0.9712744246297731,0.04743008015683546,0.205530347346287,0.9738976458870217,4.90901329623247,3347.0,474.0,0.4805474415199246,0.18,4.229182147317829,0.06857198155223303,0.1975014433720164,0.06698736218600339
0.2,500,0.2,2975,55597,18.688067226890755,0.977261114520379,0.987330918383387,0.9192650589733042,0.9463959530175299,0.9724889098076872,0.005395974602946202,0.035973164019641346,0.33634908358364657,3.1998129395470976,4300.0,944.0,0.4565444819052337,0.14081645534514609,6.462578916128568,0.07438753683010171,0.21238891980100938,0.05875691627585296
0.2,1000,0.2,2975,48143,16.182521008403363,0.9790040312199088,0.9871954701854518,0.9307717292038784,0.9515501425406468,0.9734410716028155,0.0020771451716760487,0.004154290343352097,0.11216583927050662,1.979519348607274,5547.0,1635.0,0.4326103111041626,0.11290281679739671,8.61599817211225,0.08147840826415935,0.22956056141958414,0.052832468457392666
0.2,1500,0.2,2975,42997,14.452773109243697,0.9797022426628732,0.9870597316635732,0.935088680524456,0.9537007890854311,0.9737781045111915,0.0,0.0,0.05349210410028607,1.4628927599599972,6686.0,2311.6000000000004,0.41422683729137144,0.09876368155806553,10.151871060771683,0.08709016108486184,0.24275843138949452,0.05052643021603491
0.2,2000,0.2,2975,39093,13.140504201680672,0.9802237830413881,0.9869150360664293,0.9386180504539482,0.9550026705834134,0.9740981479322885,0.0,0.0,0.03069603253779449,1.079477144245773,7734.0,2982.0,0.40148561488459933,0.09156473750375356,11.114521781393089,0.09155930594471941,0.2535819393044503,0.04864458227567643
0.3,100,0.2,2975,65121,21.889411764705883,0.9754849502061759,0.9880749030928826,0.9110611767834814,0.9445719379657005,0.9730263124771854,0.109027809769506,0.35933109135301977,1.1747362601925646,4.2075520953302314,3122.0,320.0,0.4953568404089008,0.20361028250570276,3.1664132921791746,0.06714948906797408,0.19580631769401832,0.05653359951081055
0.3,200,0.2,2975,61467,20.661176470588234,0.9768571748434088,0.9879134930082776,0.9181466307601226,0.9469012127685836,0.9732714473115178,0.037418452177591224,0.16106203328615357,0.7418614866513739,3.5791562952478566,3506.0,487.0,0.4817943190004718,0.17862501043154927,4.337286674150357,0.06965755613491917,0.2016837272944387,0.05373388151569973
0.3,500,0.2,2975,54528,18.32873949579832,0.9785855189566189,0.9876837149073614,0.9273031674085603,0.950524889084028,0.9737730623508327,0.005501760563380282,0.02750880281690141,0.2769219483568075,2.54181338028169,4412.5,954.0,0.45735521613402935,0.13996051269479395,6.543427230046948,0.0751596637079455,0.21519502455605158,0.04952853031778792
0.3,1000,0.2,2975,47580,15.99327731092437,0.9796017092930285,0.9874116139754098,0.9336039187454853,0.953425297564694,0.9741353887211159,0.002101723413198823,0.004203446826397646,0.10718789407313997,1.7675493905002102,5608.0,1639.0,0.4329274040136051,0.1123277135503031,8.671710802858344,0.08205419831361296,0.23140272026073866,0.0467886657703499
0.3,1500,0.2,2975,42622,14.32672268907563,0.9800552745398287,0.9871816586774631,0.9367331452013825,0.9547066994092049,0.9742644852194499,0.0023462061845995028,0.0046924123691990055,0.06334756698418656,1.372530617990709,6715.5,2314.0,0.4141156413909561,0.09829205326309362,10.215381727746234,0.08767915275475109,0.24427348544545985,0.04580233067296059
0.3,2000,0.2,2975,38865,13.063865546218487,0.9803854156416237,0.9870295683674499,0.9393530017054036,0.9556415916166952,0.9743906819254287,0.0,0.0,0.04374115528110125,1.0806638363566192,7733.0,2975.0,0.40112644214005677,0.091749570717353,11.117972468802265,0.09218983406574056,0.2548779265817014,0.0450831943058054
0.4,100,0.2,2975,64208,21.58252100840336,0.9772625328238103,0.9883206476493149,0.921093104813772,0.9486278594282058,0.9740868354448289,0.09033142287565413,0.26632195365063543,0.8160976825317717,3.3360328930974332,3206.0,329.0,0.49618963743914424,0.20316178806980031,3.194306005482183,0.0675488515847673,0.1968031769128478,0.049335436861664396
0.4,200,0.2,2975,60778,20.429579831932774,0.978067786663953,0.9881317568408559,0.9242291665585103,0.9499416157684696,0.9740998306439008,0.0246799828885452,0.12175458225015631,0.5544769488959821,2.9632432788179934,3572.0,495.0,0.482494356834686,0.17832187711573677,4.3683569712725,0.07006403816067697,0.20281559628738416,0.047928809449571196
0.4,500,0.2,2975,54133,18.195966386554623,0.9791465469101505,0.9878179497042016,0.9302655450512668,0.952051540041242,0.9742388125925758,0.0036946040308129978,0.020320322169471487,0.24014926200284487,2.259250364842148,4458.0,957.0,0.4578428441600833,0.14002183168258073,6.565311362754697,0.07550904207552235,0.21619231648054285,0.045684381914385466
0.4,1000,0.2,2975,47365,15.921008403361345,0.9798655721386156,0.9874747381721404,0.9351068149499072,0.9541534003673601,0.9744149054185101,0.0021112635912593687,0.006333790773778106,0.10556317956296843,1.6573419191386045,5640.0,1638.4000000000005,0.43306531714004803,0.11225900668259184,8.681515887258524,0.08224368441982739,0.2320076015969644,0.04426334472479859
0.4,1500,0.2,2975,42487,14.281344537815126,0.9802110116779352,0.9872232737494155,0.9376216046616231,0.9552652249852253,0.9744420185002717,0.002353661119871961,0.004707322239743922,0.07531715583590275,1.315696566008426,6731.0,2314.0,0.41420141856115217,0.09822077908467919,10.21488926024431,0.08784200838679036,0.24497186261261178,0.04386747142068648
0.4,2000,0.2,2975,38781,13.035630252100841,0.980469843275759,0.9870681554825166,0.9399445451956516,0.9558576277516947,0.9745251269421094,0.0,0.0025785822954539593,0.04383589902271731,1.0752688172043012,7745.0,2970.0,0.4010986476852534,0.09174261253797293,11.108532528815656,0.09242619349580541,0.2556398495397671,0.043610158685881965
